age_bp,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,e50,e51,e52,e53,e54,e55,e56,e57,e58,e59,e60,e61,e62,e63,e64,e65,e66,e67,e68,e69,e70,e71,e72,e73,e74,e75,e76,e77,e78,e79,e80,e81,e82,e83,e84,e85,e86,e87,e88,e89,e90,e91,e92,e93,e94,e95,e96,e97,e98,e99,e100,e101,e102,e103,e104,e105,e106,e107,e108,e109,e110,e111,e112,e113,e114,e115,e116,e117,e118,e119,e120,e121,e122,e123,e124,e125,e126,e127,e128,e129,e130,e131,e132,e133,e134,e135,e136,e137,e138,e139,e140,e141,e142,e143,e144,e145,e146,e147,e148,e149,e150,e151,e152,e153,e154,e155,e156,e157,e158,e159,e160,e161,e162,e163,e164,e165,e166,e167,e168,e169,e170,e171,e172,e173,e174,e175,e176,e177,e178,e179,e180,e181,e182,e183,e184,e185,e186,e187,e188,e189,e190,e191,e192,e193,e194,e195,e196,e197
1949,0.126252,-0.0836685,0.182636,0.335007,0.058079,-0.0924617,-0.0301828,0.0841555,-0.212781,-0.180345,-0.449118,-0.0699977,-0.0573709,0.167252,-0.398923,-0.309603,0.178214,-0.246992,0.251686,-0.100674,0.0390381,0.0137636,0.0182556,-0.181044,0.179087,0.110636,-0.0758972,0.108185,0.258192,0.189493,-0.169174,0.235024,-0.0756815,0.210468,0.21486,0.202038,-0.0684364,0.343024,0.100695,0.184029,-0.00236707,0.182212,0.216484,0.187596,0.0528457,-0.0183138,0.230621,0.124499,-0.004421,0.13322,0.120167,0.28822,0.0427824,0.285282,0.317731,0.265415,0.0597791,0.337586,0.210496,0.242975,-0.0131412,0.164616,0.072949,-0.240784,0.636927,0.169861,0.0390718,0.371678,0.49932,1.02066,-0.103252,0.662287,0.666288,-0.300155,0.611396,-0.245604,0.0503373,0.769057,-0.0665031,0.220668,0.172279,0.478736,0.937863,0.455634,0.56659,-0.334799,-0.0923271,0.78507,0.191399,0.506452,0.245109,-0.13893,0.736504,-0.0582929,0.653708,-0.442163,0.331398,0.439793,0.204617,0.5206,0.423577,0.657899,0.631525,0.586095,0.921658,1.1066,0.267004,0.746478,0.531275,0.51867,0.507675,0.769054,0.422649,0.616656,0.457216,0.838882,0.341362,0.0320386,0.87297,0.450795,0.103122,0.58737,0.760582,0.753089,0.430034,0.735912,0.4507,0.804311,0.497164,0.53771,0.576186,0.544281,0.257857,0.170728,0.198884,0.255768,0.211024,0.5902,0.296425,0.578436,0.248334,0.229168,0.0764637,0.278348,0.168237,0.498946,-0.154656,0.519014,0.520173,0.442584,0.137691,0.301074,0.165153,0.421677,0.424149,0.297208,0.634689,0.507265,0.272322,0.148321,-0.0672172,0.251175,0.468037,0.207108,0.0879883,0.157136,0.00430121,0.330793,0.0782356,0.277379,-0.180955,0.294372,0.28919,0.309039,0.286171,0.445176,0.0845953,0.341945,0.087544,0.361618,0.241975,-0.185589,0.253362,0.129298,0.0824114,0.294908,0.101009,0.31675,0.0103845,0.0375264,0.436796,0.010024,0.401541,0.0781202,-0.179024,0.034938,-0.0865271,0.45251
1948,-0.224882,0.0845732,-0.277702,0.155792,-0.46122,-0.0816908,-0.399834,-0.357301,-0.578169,0.349249,-0.244413,-0.355635,-0.10957,0.292072,-0.58724,-0.113978,-0.565474,0.0991758,0.181325,-0.0512014,0.636668,0.141603,-0.202358,-0.235421,0.124737,-0.47579,-0.416201,0.227117,-0.24544,0.631926,0.460885,0.0966233,0.164913,0.491728,0.27181,0.337991,-0.0296545,0.379277,-0.175203,0.33953,0.135092,0.360231,0.198351,0.22995,0.198333,0.317968,0.232928,0.0957828,0.23238,-0.191253,0.106577,0.0756796,0.216886,0.426986,0.174559,0.39703,0.429819,-0.00377947,0.00549526,0.324569,0.170843,0.34747,0.220263,-0.0939484,-0.00361384,0.284246,0.469997,0.598251,0.959477,1.01034,-0.10301,0.345141,0.509355,0.647405,0.891807,-0.140216,0.341282,0.695521,-0.402468,0.430039,0.619621,0.236417,0.577526,0.560279,0.623972,0.165678,0.0492642,0.639721,0.164263,0.281549,0.15717,0.525815,0.712536,1.02472,0.332024,0.218473,0.874553,0.669202,0.592177,0.516792,0.419768,0.654091,0.627716,0.582286,0.91785,1.10279,0.263196,0.742669,0.527466,0.514861,0.503867,0.765246,0.41884,0.612848,0.453408,0.835073,0.337554,0.0282302,0.869162,0.446986,0.099314,0.583562,0.756774,0.749281,0.426225,0.732104,0.446891,0.800503,0.493355,0.533902,0.572378,0.540473,0.236699,0.477826,0.352999,0.673135,0.15578,0.297983,0.662628,0.321287,0.477083,0.214269,0.351758,0.436995,0.511163,0.565023,0.355513,0.92997,0.408849,0.65228,0.480706,0.470981,0.532506,0.393096,0.266253,0.419914,0.318172,0.352607,0.514116,0.318273,0.377864,0.196103,0.52059,-0.170563,0.328813,0.226567,0.123953,0.531941,0.467832,0.315189,0.531369,0.697664,0.315748,0.209359,0.106791,0.383859,0.366815,0.292171,-0.158945,0.04754,0.306501,0.119396,0.126799,0.370619,-0.001933,0.695965,-0.0970903,0.14826,0.248393,0.33944,0.297105,0.233521,0.334184,-0.176014,0.292082,0.266564,-0.0606026,0.511209
1947,-0.462769,0.18437,0.666547,-0.0859639,0.604712,0.00499736,0.228425,-0.432401,0.594058,-0.632667,0.428521,0.315731,0.616391,0.547968,-0.712068,0.162765,-0.608114,0.0750506,-0.0765907,0.0234628,0.423879,0.147137,0.113406,0.120419,-0.412797,0.0387923,-0.0112363,0.580373,0.075673,-0.279702,0.271945,-0.0784385,0.526497,0.153927,0.588268,0.291609,0.20151,0.0453075,0.209862,0.433591,0.00204434,0.177562,0.132896,0.292548,0.483564,0.201532,-0.069016,0.19722,0.295216,0.0785521,0.297505,0.24295,0.329218,0.297864,0.197355,0.199013,0.227381,0.297494,0.285652,0.113024,0.585563,0.595135,0.273543,0.0562001,0.268436,0.392798,0.759075,0.647338,0.392361,0.895895,-0.628013,0.068017,0.881287,0.263313,0.6739,0.11469,0.0159901,0.2965,-0.129141,0.302459,0.351019,0.780265,0.67628,0.523128,-0.23081,0.29161,0.172779,0.375376,0.31635,0.428033,1.02378,0.469988,-0.00633404,1.11054,-0.0691949,0.0788016,0.291806,0.205716,0.323796,0.558771,0.461748,0.69607,0.669696,0.624266,0.959829,1.14477,0.305175,0.784649,0.569446,0.556841,0.545846,0.807225,0.46082,0.654827,0.495387,0.877053,0.379533,0.0702096,0.911141,0.488966,0.141293,0.625541,0.798753,0.79126,0.468205,0.774083,0.48887,0.842482,0.535335,0.575881,0.614357,0.582452,0.71049,0.798008,0.500653,0.4728,0.435174,0.299015,0.445573,0.292272,0.464265,0.345679,0.366788,0.362539,0.557577,0.384338,0.319111,0.091452,0.213963,0.549275,0.483626,0.312711,0.650211,0.382597,0.315684,0.478593,0.137024,0.615933,0.508241,0.678306,0.278566,0.189244,0.251657,0.188066,0.597502,0.413848,0.184932,0.220218,0.473847,0.148721,0.422025,0.584361,0.240762,0.345017,0.28483,0.384825,0.553675,0.295508,0.206919,-0.144173,0.226509,0.594687,0.42858,0.0208044,0.274652,-0.0132131,-0.236354,0.681762,0.319579,0.369487,0.458551,0.157612,0.343953,0.103068,0.177143,0.0493339,0.176598,0.168723
1946,-0.347216,-0.450113,0.246186,-0.343685,-0.301298,0.631898,-0.391356,-0.359261,0.375048,0.534218,-0.385926,0.277707,-0.450874,0.647555,0.0606127,0.478118,-0.437581,0.375177,0.39435,-0.167944,0.117273,0.5127,-0.415007,0.606451,-0.00157976,-0.319092,0.517766,-0.438575,0.463928,0.23669,0.484669,-0.0334426,0.210866,0.380648,0.0698258,0.228634,-0.153229,-0.0713258,0.300707,0.368898,0.0224465,0.154884,0.416179,0.401665,0.283948,-0.315348,0.297287,0.263724,0.223184,0.351891,0.0574256,0.0259216,0.105775,0.254251,0.352351,-0.158346,0.057157,0.118078,0.0570772,0.368138,0.13322,0.508215,0.231827,-0.02115,0.171015,0.502395,0.0939358,0.402463,0.576991,1.10286,0.158218,-0.119161,0.836484,0.786161,0.488444,-0.260746,0.330011,-0.478909,0.0541549,0.727992,1.05262,0.642641,0.425175,0.387348,-0.0389257,0.70498,-0.119537,0.361247,0.0597764,0.629066,0.536917,0.208967,0.937888,0.588149,-0.00742807,0.256174,0.12682,0.640159,-0.0190778,0.590044,0.49302,0.727343,0.700968,0.655538,0.991102,1.17605,0.336448,0.815921,0.600718,0.588113,0.577119,0.838498,0.492092,0.6861,0.52666,0.908325,0.410806,0.101482,0.942414,0.520239,0.172566,0.656814,0.830026,0.822533,0.499477,0.805356,0.520143,0.873755,0.566607,0.607154,0.64563,0.613725,0.683194,0.590328,0.504637,0.546647,0.506296,0.19713,0.630632,0.283644,0.612521,0.240199,0.597151,0.64728,0.13726,0.261569,0.424942,0.384067,0.198504,0.621324,0.469044,0.382356,0.546336,0.517798,0.519282,0.641368,0.862143,0.469207,0.553035,0.366384,0.698381,0.439385,0.126786,0.262993,0.136881,0.206131,0.0815755,0.38957,0.57255,0.0233646,0.667739,0.32291,0.010158,0.492065,0.0872712,0.195676,0.0786609,0.389882,0.254356,0.219805,0.312079,0.349463,0.311471,0.242917,0.305874,0.0636976,0.17171,0.335815,0.36219,0.266412,0.276235,0.329299,0.254699,0.261917,0.300476,0.222642,0.0973677,0.39311
1945,0.312327,0.213813,-0.521757,0.416745,-0.101357,0.234156,0.513726,0.375662,0.321999,0.389062,-0.129554,-0.307839,0.400364,-0.0799555,0.319631,-0.209067,0.467352,0.117063,0.347986,0.035132,0.32954,-0.00270869,0.61191,-0.122575,-0.476484,0.577954,0.497537,-0.277667,0.195637,0.406087,-0.238926,0.36262,0.284891,0.477682,0.685581,0.325989,0.378435,0.48274,0.362336,0.442052,0.368208,0.177041,0.421767,0.323014,0.370518,0.16119,0.164153,0.50869,0.242223,0.0121069,0.377984,0.171255,0.0257527,-0.137563,0.296937,0.0266923,0.296327,0.216608,0.340727,0.279912,0.252029,0.288664,0.197829,0.209494,0.443692,0.644471,-0.180537,-0.241021,0.50879,0.111053,0.273222,-0.352627,0.23161,-0.17901,0.525649,-0.302848,0.114382,0.384088,0.580476,0.29188,0.388697,0.221863,-0.0212279,0.613079,0.0550226,-0.46788,0.602039,-0.25469,0.227741,-0.269954,0.133331,0.448469,0.285874,-0.274996,-0.212691,0.475075,0.535628,0.054261,0.28637,0.593007,0.495984,0.730307,0.703932,0.658502,0.994066,1.17901,0.339411,0.818885,0.603682,0.591077,0.580082,0.841462,0.495056,0.689063,0.529624,0.911289,0.41377,0.104446,0.945377,0.523202,0.17553,0.659778,0.83299,0.825497,0.502441,0.80832,0.523107,0.876719,0.569571,0.610118,0.648594,0.616688,0.251575,0.344982,0.138241,0.493255,0.52366,0.671632,0.546139,0.642298,0.852005,0.38944,0.452583,0.536988,0.589042,0.359489,0.665552,0.187181,0.251678,0.315532,0.36521,0.46942,0.245425,0.585806,0.275142,0.298382,0.677667,0.656391,0.632734,0.644645,0.51038,0.434676,0.48492,0.246436,0.236324,0.0361988,0.239558,0.316462,0.333414,0.377859,0.225399,0.0699818,0.31798,0.273523,0.365363,0.187885,0.69241,0.387835,0.0707937,0.845794,-0.0271591,0.0738157,0.167676,0.22702,0.161493,0.281122,-0.0129632,0.293143,0.0203671,0.327722,0.38673,0.199669,0.281475,0.313044,0.208281,0.0493969,0.248561,0.409454
1944,0.560315,0.320798,0.251059,-0.24519,-0.116904,-0.140081,0.319526,0.365779,0.0994741,0.283807,-0.0834524,0.232076,-0.183763,0.460528,0.621532,0.230664,0.466032,0.223805,0.524694,0.303662,-0.0271338,0.549218,0.437502,0.254825,0.345781,-0.0618897,0.202865,0.337316,0.170266,-0.00110095,-0.093787,0.516683,0.181524,0.358641,0.379212,0.524664,0.106458,0.459448,0.233664,0.103743,0.0283395,0.254455,0.449625,0.644902,0.359872,-0.133649,0.387406,0.398223,0.500868,0.0522356,0.236009,0.65172,0.345898,0.314504,0.758557,0.182365,0.318569,0.324552,0.39659,0.804942,0.14733,0.579749,0.257672,0.421589,0.401718,0.201356,0.269178,-0.45832,0.762398,0.272684,0.337511,0.14648,0.226521,0.311317,0.621995,-0.213515,0.160702,0.542052,0.394099,0.465669,0.242459,0.115816,0.577594,0.78238,0.334285,0.344538,-0.175804,-0.397461,0.221999,0.49512,0.360722,0.0953263,0.404524,0.514228,-0.122936,0.351891,0.457073,0.523538,-0.061498,0.630239,0.533216,0.767538,0.741164,0.695734,1.0313,1.21624,0.376643,0.856117,0.640914,0.628309,0.617314,0.878693,0.532288,0.726295,0.566855,0.948521,0.451001,0.141678,0.982609,0.560434,0.212761,0.697009,0.870221,0.862728,0.539673,0.845551,0.560339,0.91395,0.606803,0.647349,0.685825,0.65392,0.562616,0.261683,0.626926,0.453553,0.529585,0.432287,0.416027,0.301722,0.268089,0.615433,0.635799,0.609638,0.369343,0.412596,0.390281,0.56309,0.838082,0.364156,0.50771,0.518164,0.479957,0.601507,0.382729,0.244523,0.148667,0.303925,0.65536,0.623975,0.56695,0.683347,0.638528,0.528402,0.472062,0.172661,0.185781,0.485853,0.338341,-0.0388057,0.271097,0.389017,0.0170297,0.118687,0.208551,0.316707,0.665366,0.242879,-0.00982618,0.835657,0.508762,0.0233576,0.273442,0.446652,0.510573,0.275216,0.309524,0.344415,0.249625,0.216299,0.311447,0.0700034,0.339122,0.285138,0.0190787,0.420854,0.409106,0.586101
1943,0.729772,0.466049,0.359293,0.315371,0.397499,0.267335,0.491576,0.180743,0.555239,0.0581014,0.17067,0.647944,0.303642,0.346075,-0.0165317,0.0706965,0.0422663,0.152868,0.121976,0.455915,0.127722,0.572828,-0.0919926,0.11575,0.473493,0.455992,0.47922,0.682201,0.337572,-0.222566,0.688338,0.494652,-0.0547414,0.417135,0.0781771,0.329156,0.191515,0.484192,0.382569,0.499233,0.152621,0.597672,0.240428,0.563526,0.406474,0.158315,0.303453,0.383386,0.629982,0.311627,0.222931,0.32834,0.381513,0.348787,0.585753,0.257554,0.547781,0.516231,0.389976,0.73945,0.147263,0.248749,0.460755,0.145311,0.343476,0.410501,0.24714,0.380031,0.502411,0.628389,0.848785,0.988895,1.04884,0.55843,0.509811,1.08211,0.034875,0.560571,0.985479,0.770426,0.551,0.253613,0.328259,0.171004,1.01009,1.40002,0.731725,0.705138,0.981482,0.490092,0.870916,0.406136,0.815521,0.675069,0.450497,0.804788,0.448128,0.781282,0.177538,0.694609,0.597585,0.831908,0.805533,0.760103,1.09567,1.28061,0.441013,0.920486,0.705283,0.692678,0.681684,0.943063,0.596657,0.790665,0.631225,1.01289,0.515371,0.206047,1.04698,0.624803,0.277131,0.761379,0.934591,0.927098,0.604042,0.909921,0.624708,0.97832,0.671172,0.711719,0.750195,0.71829,0.319833,0.12494,0.395013,0.546371,0.531816,0.532281,0.523309,0.505504,0.353474,0.560389,0.225184,0.645307,0.754396,0.4028,0.510948,0.389313,0.228126,0.708364,0.804406,0.576825,0.350976,0.399219,0.483753,0.564325,0.362071,1.15343,0.748504,0.220206,0.552618,0.567052,0.46903,0.687301,0.431685,0.268347,0.0712291,0.438689,1.03268,0.126701,0.361988,0.560645,0.289878,0.27406,0.200921,0.483792,0.346683,0.493495,0.15286,0.148999,0.0157303,0.296616,0.393595,0.486899,0.313622,0.659175,0.55781,0.337113,0.109134,0.348159,0.278288,0.325425,0.456628,0.215265,0.46584,0.30931,0.318499,0.655773
1942,0.273424,0.44968,0.602808,0.0962097,-0.218909,0.776944,0.532927,0.481755,0.306825,0.593825,0.563275,0.422712,0.351309,0.401328,0.425571,0.851886,0.632389,-0.0447746,0.42687,-0.077068,0.455049,0.161854,0.641184,0.313651,0.165533,0.42018,0.284996,0.0911344,0.220936,0.385346,0.436143,0.553511,0.329503,0.357365,0.658607,0.526892,0.444399,0.918102,0.178448,0.169022,0.357091,0.105808,0.145375,0.363415,0.696424,-0.0104943,0.501607,0.414431,0.376679,0.131718,0.483351,0.39217,0.260166,0.363299,0.600084,0.317862,0.235,0.231474,0.440824,0.44007,0.190286,0.485942,0.583916,0.194943,0.490599,0.289143,0.556718,0.373041,0.205537,0.628785,0.406546,0.691164,0.857286,0.679628,0.686013,0.721663,0.541349,0.474192,0.240253,0.700004,0.133352,0.70055,0.930037,0.874768,0.965975,0.840982,0.522588,0.14718,0.729391,0.291067,0.643977,0.577429,0.560691,-0.0611695,0.0749938,0.743482,0.387241,0.270705,0.766176,0.615901,0.518877,0.7532,0.726825,0.681395,1.01696,1.2019,0.362304,0.841778,0.626575,0.61397,0.602976,0.864355,0.517949,0.711956,0.552517,0.934182,0.436663,0.127339,0.96827,0.546095,0.198423,0.682671,0.855883,0.84839,0.525334,0.831213,0.546,0.899612,0.592464,0.633011,0.671487,0.639581,0.696152,0.369121,0.564029,0.587853,0.597803,0.420065,-0.0196354,0.179942,0.236924,0.570184,0.374147,0.231747,0.633144,0.329927,0.123132,0.711071,0.483874,0.150335,0.514106,0.633012,0.148224,0.180706,0.480731,0.224028,0.514311,0.38439,0.626607,0.0833603,0.293359,0.135168,0.465139,0.317135,0.473008,0.54469,0.207948,0.516569,0.555428,0.223502,0.150752,0.818191,0.592748,-0.01279,0.162571,0.432363,0.685714,0.395399,0.204671,-0.0697843,0.225159,0.131336,0.475965,0.387005,0.297872,0.546278,0.513799,0.431893,0.0826358,0.239809,0.253428,0.652576,0.476803,0.173694,0.461817,0.233636,0.439049,0.589783
1941,-0.153361,0.304683,0.513388,0.593989,-0.236495,-0.110809,0.7546,0.410246,-0.350442,0.209419,-0.0570493,-0.191575,0.0119392,0.252837,-0.28981,-0.0623147,0.0454778,-0.421999,0.253872,0.128826,0.0252214,-0.12481,0.424337,-0.292882,0.616168,0.587393,0.429483,0.506796,0.144816,0.0794457,0.0100725,0.437976,0.502637,0.546231,0.153669,0.322532,0.328502,0.639792,0.284807,0.417723,0.194176,0.348277,0.0447322,0.0741214,0.286435,0.163126,0.135364,0.270893,0.364845,0.161057,0.051792,-0.00862539,0.363279,0.393809,0.231204,0.0767599,0.0932247,0.234973,0.179256,0.10663,-0.0196382,0.353699,0.14759,0.0890435,0.177208,0.00622192,0.198272,0.644083,0.247408,-0.0891178,0.333706,0.250856,0.550336,0.462805,0.599589,0.146231,0.170995,0.463965,0.406505,0.439444,0.162492,0.49088,0.524099,0.470504,0.795888,0.121181,0.351849,0.475714,0.927392,0.018773,0.039317,0.449093,0.604977,0.29837,0.247944,0.153702,0.655936,0.685279,-0.105497,0.54019,0.443167,0.677489,0.651115,0.605685,0.941248,1.12619,0.286594,0.766068,0.550865,0.53826,0.527265,0.788644,0.442239,0.636246,0.476807,0.858472,0.360952,0.0516287,0.89256,0.470385,0.122712,0.60696,0.780172,0.772679,0.449624,0.755502,0.47029,0.823901,0.516754,0.5573,0.595776,0.563871,0.519827,0.582799,0.688337,0.385473,0.606685,0.316942,0.452776,0.130658,0.527601,0.119262,0.355995,0.470795,-0.0227336,0.241628,0.556624,0.422128,0.473466,0.40406,0.335518,0.314328,0.260524,0.483376,0.697867,0.360241,0.406492,0.308313,0.407986,0.256235,0.667511,0.0867543,0.629694,0.34152,0.0862198,0.34762,-0.0993108,0.523735,-0.162862,0.43686,0.218289,-0.00784879,0.371837,0.0463358,0.166836,0.0493871,0.2442,0.121462,0.222324,0.122318,0.17913,0.25038,0.488994,0.329331,0.503594,0.419544,0.449496,0.315862,0.429498,0.210075,0.211167,0.0486324,0.705252,0.0543437,0.15632,0.242755,0.155158,0.00255216
1940,0.0230116,0.0488792,-0.0162334,0.533648,0.362679,-0.149967,0.0819366,0.117154,0.209663,0.380339,-0.274547,0.130619,0.241325,0.137951,0.0329088,0.097116,0.127213,-0.174531,0.505516,-0.17101,-0.188823,0.329046,0.292215,0.407413,0.48295,0.115203,0.522814,0.0731073,0.115562,0.313031,-0.368186,-0.0125811,-0.0166661,0.479547,0.628925,0.363204,0.423239,0.647038,0.220476,0.572205,0.220169,0.342497,0.00623187,0.439944,0.493406,0.491987,0.530335,0.429181,0.2415,0.206621,0.581614,0.350443,0.571016,0.301704,0.25187,0.158749,0.379982,0.0633162,0.395295,0.477247,0.509445,0.292272,0.406181,0.323945,0.255222,0.294327,0.232834,0.497685,0.612529,0.248768,0.297071,-0.10301,0.547543,0.534023,0.622457,0.695749,0.801561,0.581416,0.750095,-0.0494218,0.293979,0.667691,0.396174,0.0884786,0.111727,0.324904,0.332134,-0.0238531,0.106345,0.33644,0.0541805,0.509186,0.52085,0.281064,0.430745,0.0151639,0.820473,0.489985,0.530246,0.508363,0.41134,0.645662,0.619287,0.573858,0.909421,1.09437,0.254767,0.734241,0.519038,0.506432,0.495438,0.756817,0.410412,0.604419,0.444979,0.826645,0.329125,0.0198015,0.860733,0.438558,0.0908853,0.575133,0.748345,0.740852,0.417796,0.723675,0.438462,0.792074,0.484927,0.525473,0.563949,0.532044,0.237279,0.168923,0.535426,0.534752,0.182052,0.873924,0.575866,0.338341,0.0608319,0.122515,0.132118,0.319582,0.363497,0.614485,0.589978,0.52739,0.571279,0.253491,0.35022,0.213781,0.519869,0.460989,0.600317,0.515338,0.314489,0.398133,0.3382,0.530215,0.588726,0.150947,0.260563,0.243379,0.594513,0.222658,0.388971,0.214857,0.140968,0.225667,0.0994132,0.508542,0.455982,0.419566,-0.0179533,0.357506,0.394339,0.283319,0.64361,0.458859,0.232161,0.277656,0.425212,0.448316,0.179371,0.116847,0.397615,0.424073,0.0580885,0.251691,0.104904,0.379131,0.661716,0.104196,0.421808,0.00574257,0.212867,0.262911
