"binAges","ens1","ens2","ens3","ens4","ens5","ens6","ens7","ens8","ens9","ens10","ens11","ens12","ens13","ens14","ens15","ens16","ens17","ens18","ens19","ens20","ens21","ens22","ens23","ens24","ens25","ens26","ens27","ens28","ens29","ens30","ens31","ens32","ens33","ens34","ens35","ens36","ens37","ens38","ens39","ens40","ens41","ens42","ens43","ens44","ens45","ens46","ens47","ens48","ens49","ens50","ens51","ens52","ens53","ens54","ens55","ens56","ens57","ens58","ens59","ens60","ens61","ens62","ens63","ens64","ens65","ens66","ens67","ens68","ens69","ens70","ens71","ens72","ens73","ens74","ens75","ens76","ens77","ens78","ens79","ens80","ens81","ens82","ens83","ens84","ens85","ens86","ens87","ens88","ens89","ens90","ens91","ens92","ens93","ens94","ens95","ens96","ens97","ens98","ens99","ens100"
0,0.151919368368132,-0.0185843679960421,0.096785916589776,0.448603830867431,-0.191176744886481,0.219424515276429,0.422001004605063,0.369054491099263,-0.0385437158676183,0.0670727300384472,0.101792338585814,0.369828599963647,0.284903726818692,0.420240421597713,-0.097756534580189,0.376850756229992,0.0864299737429071,0.48270763098523,0.286447676495691,-0.0255805735061022,-0.0404697457923391,-0.0249068721278739,0.00212312138372128,0.300882198642797,0.0847938073921934,-0.114175149485368,0.0567048489320726,0.341407104767823,0.0103557753122891,-0.0442089646139169,0.0157917102272555,0.0271773070081027,0.0293672783942257,0.239454363250236,0.066489035483145,-0.0318546322559589,0.26874153737495,0.1216414252277,0.18297602373624,-0.091428822760085,0.336739622105632,0.38497895305881,0.176892741265909,-0.16785638409913,0.246299174412502,-0.129887594886048,-0.0142833415332567,0.0192904713787845,0.425026115392672,0.446683785360669,0.188210697327256,0.0790648392374364,0.0218359939190498,0.196072777364937,0.513186785174461,0.419964520893566,0.274378568418638,-0.191815870127216,0.0176855065377357,0.0706569364407234,-0.139343501332448,-0.240196467845214,0.243617990555777,0.277486416685662,-0.0650263142630882,-0.136686037095512,-0.200599126818544,-0.103384615945604,0.0948459652911243,0.3220518366269,0.313503450908249,0.13932815505478,0.120967523902211,0.534901308799392,0.192115041083807,0.300780472444579,0.289830573569515,0.0143573107870886,0.421091382958664,0.123184692746514,0.20893359536905,0.215076958053654,0.121539744344735,-0.0642816122130862,-0.0722886295229099,0.0886737442270197,0.260607094396592,0.083655901982614,0.251840559104345,-0.24097166607421,-0.0568999775841022,-0.0979066694896131,0.123421643212306,0.311369652397286,0.277005888122986,0.194689045763934,0.359876181523975,0.620684431806016,0.0181573085551317,-0.110423175439537
100,-0.134471608933566,-0.283172305791891,0.273432643908288,0.0602408711908441,-0.0824287924617026,0.191612602790409,-0.0149922047483987,0.224783430114243,0.259515896668515,-0.0667072263072826,-0.00947297872132338,0.0820880154459535,0.012722643384777,0.410866913114896,-0.301127682046834,0.150673625785447,0.0263971974459377,0.112764879521206,0.0441541716870368,-0.288964388958297,-0.0754604662080944,0.0626656519638703,-0.182356022233308,0.0908387170591582,0.110620212844983,-0.0122500714650705,0.0299742886828212,0.1757857472382,-0.0252949564283262,-0.122797008116234,-0.0738210139879547,-0.3111195938171,0.155743489059113,-0.106048928933708,-0.0788374253944074,-0.00844881864494365,-0.0216879624040377,-0.383336135894537,0.183828297256875,-0.15424187198202,-0.12136366428203,0.154397526183678,0.0673020585400569,-0.352854486032514,0.0288289896377244,-0.188216874967931,-0.0924505458498633,-0.116106405034395,0.0474198759449135,0.146066365762913,0.216669745313219,0.0249137871649867,-0.0930645243378775,0.132070951902712,0.360753875271981,0.0400182503064763,-0.0742436272961054,-0.0644250884741352,0.00591681694831611,-0.225698478783938,-0.128111586088763,-0.222058599714758,-0.153285295266712,0.077192532047693,0.0361153209007424,0.0587938019271781,-0.209196583594912,0.015492823110794,-0.00651622952193212,0.293200850657636,0.0517894334223859,-0.110566734322675,0.0035469762077068,0.320249107069512,0.0287242501476809,-0.118372738631859,-0.0622080140684162,-0.0992932015385289,0.0187436094418336,0.225653235585712,0.109826329466322,0.0300614211518019,-0.0844810695654234,0.01743051214518,-0.0986376092573157,-0.13028358509846,-0.0938044430504283,-0.0613067959205426,0.215611639122158,0.0350361904486001,-0.203986522127081,-0.258557339956505,-0.172989388645832,0.0846028909567363,0.0708615699646229,-0.0669184788072779,-0.0035469762077068,0.132176281952039,0.273857970946884,-0.196307140892721
200,0.0219027936539108,0.0126249199524148,0.142658899416332,0.0693903513022731,-0.0901021979434772,0.225700800491476,0.0733976551925763,0.21530306949779,0.444837855805913,0.0227086745704342,0.0946581722556536,0.143638323527054,0.0456139577266365,0.270478948939821,-0.0909354640116325,0.343723276093276,0.353004286772511,0.303088416864432,0.145304786494106,-0.235147668713725,-0.00275834126570954,0.445315764419334,-0.0112044494420228,0.192473705454238,0.0239254649217169,-0.000735712215845036,0.112721966852741,-0.0129308234444247,0.222630954118436,-0.0348161704462182,0.0044244860299881,-0.157132261161659,0.0395828516616381,-0.0177863374997647,-0.010284766995742,0.200264937453683,0.0800146602191966,-0.076028283705439,0.294444603895327,-0.102639906644939,0.123897928384364,0.35055918870906,0.204887868370536,-0.122157295949806,0.089979514332645,-0.260468307624961,0.0156431941398417,0.191732968536849,0.178282872348713,0.11125103211287,0.310248643676287,0.0715216776184881,0.172892818787111,0.170451777479336,0.361075155826985,0.215941804751851,-0.2100466715014,-0.0929313936437938,0.0509650526126229,-0.121100209593404,-0.0176495002944937,0.0842951418785706,-0.157319141011051,0.210445832595332,-0.0876662846129688,0.143009645161951,0.184855851981568,0.189658897456963,0.0529741324127234,0.21783104680411,0.355968557802455,0.228516327934863,0.195370052734654,0.377450458604076,-0.0143620740889848,0.19804435933549,-0.0587524872198207,0.149823248837756,0.115020081060497,0.107298143731157,0.229566644358146,0.09345563758224,0.0525507334868048,0.256919893131352,0.0454384957810708,-0.0291306548190462,-0.0668073940487174,0.136406451425187,0.383558747500001,0.170968488132805,0.00905326679150589,-0.145188847364236,0.0020219176292052,0.212474684296089,0.264832998625584,0.0195171805214313,0.275298179941024,0.166541214426971,0.277019708060821,0.0489794786270566
300,0.23824462685656,-0.0265990950608479,0.0466893433952187,-0.00321230392675761,0.0830639978710199,0.158821660536602,-0.0436126147514639,-0.00608213477741484,0.371221858972963,0.00744507233774686,0.255502130255079,-0.103211608937322,0.151962028187829,0.144995205644264,-0.163400749077121,0.371512350020009,0.504870272494197,0.10614043632029,0.0697362725602195,-0.0594434346053288,-0.025215662212504,0.221891265384481,-0.048406391915673,0.100407328075581,-0.117018469077723,0.0748525535780994,-0.0560744561142625,-0.172237548916544,0.140539997171853,-0.0649042216116895,0.0770733679965968,-0.0728011586654296,-0.155400497278536,0.140789762257117,-0.0619126041008422,0.114583317344294,0.122793375557911,-0.0207050125085983,0.353584787988558,-0.0421792574253328,-0.0202912791006599,0.207133297079379,0.0293508877784794,-0.0303108011596866,0.123913792186582,-0.242511272832035,-0.148370017782537,0.231850179922611,0.324130524087642,0.236158847310978,0.329840389328631,0.0814399491403801,0.0325836185601297,0.146349637218598,0.0330593118739798,0.234237175602127,-0.155232930823986,-0.0833794282762385,0.12541352499363,-0.120678265847737,0.0951576961844645,-0.0574081174965425,-0.161259253669263,0.241845832837196,-0.0169561607127179,0.141537838247518,0.0376382715462945,0.227973038403106,0.0374847859755451,0.21410282818514,0.274913973325174,0.261086788883472,0.211079042069749,0.276985998228856,0.0362159671599201,0.29337020571378,-0.202937985529636,0.029726260223634,0.0704750439860294,-0.0700075909227079,0.28232789529131,0.170665123116618,0.118966243742898,0.0931229076631132,0.114420065863382,0.142459870257678,0.0733053600618761,0.139473950660054,0.42935831171491,0.195822450664405,0.0638142847134108,-0.0252168408098112,-0.0631243577409143,0.187004633242756,0.236454031707121,0.0968707644715731,0.158421173021779,0.081620589439229,0.343833814310419,0.023895179933927
400,-0.0445119588280218,0.158018532484153,0.209593398344912,0.154372836348776,0.177282743250623,0.249358799521813,0.00967228620326419,0.0173697235463675,0.12439259301529,0.0269984264624451,0.377984241908829,0.096799195493649,0.239843708848927,0.295935278623198,-0.189022069114302,0.175268894101295,0.518308031147165,0.223279200566173,0.0237747296888899,-0.0560812258300587,0.149998158307295,-0.0843522782192958,0.253337772749732,-0.0534372291552827,0.175603049475631,0.17555119905335,0.0383920492694538,0.218604276482655,0.201681419764685,0.14191633710413,0.0898072491599972,-0.0380068203373195,-0.0473273798237117,0.188085027845131,0.123935950952979,0.0548309798062982,0.360043655758038,-0.00705738430024985,0.153374086925535,0.0382180944093314,0.0260070340351232,0.183437236374602,0.227545059884795,-0.010177480158146,0.103100877452556,-0.0681952345491457,0.131483468892762,0.220661911375022,0.363431510957761,0.277566800152075,0.42991239208051,0.360154738982684,0.227430348485343,0.141965929030296,0.0598964682148488,0.343280328139548,0.0929909613938143,0.169198314245561,0.263477351701256,-0.237914543130654,0.276881646033611,0.11348125043595,0.0101072974444871,0.162073105175657,-0.0212657704820826,0.130466286492635,0.132529978075629,0.0374641708739984,0.244856337092794,0.328131966078795,0.346366892920607,0.252528442492855,0.158075721149601,0.157787795437314,-0.00486252325725103,0.237203386230496,0.10245812151533,0.0302997590542891,0.0907465786413445,0.167109907810137,0.00291673587502658,0.0628394954573969,0.165016314793054,0.117071328177054,0.167237334957738,0.14243584961992,0.0503027882065473,0.185186553457783,0.304880635672693,0.214090261215175,0.0905306443465131,-0.177838707762121,0.175102427982742,0.335805892719142,0.340078623020048,0.217052840566371,0.171068317718131,0.34085722080146,0.171883298480321,0.0190899078762441
500,-0.119839194587357,0.305724936823636,0.254063270569014,0.131294013534484,0.0300628389558233,0.16703676952382,0.0464575167579352,-0.185840627179904,0.0274110581378761,0.116036690909456,0.165242219489911,-0.0527968239779608,0.127965113837224,0.154590733207939,-0.147347518877918,0.265580562642047,0.390625659197044,0.117974633151129,0.220406020272954,-0.0278887048768877,0.101034086945056,0.0330247559419243,0.153655532543048,0.108906503971125,0.165680145458325,0.0897160036868916,-0.0500505798230035,0.315469932758054,0.204684394234434,0.219906326797163,-0.0254562893796541,0.0250050922471741,-0.0144074985541134,0.0759854297356986,0.109582181973964,0.24470477801115,0.371297508166614,0.172068688408859,0.206025091310895,0.18007513129239,0.15149331825758,0.187896422962545,0.25906548746658,-0.12875359798708,0.310198576469365,0.0410068977625931,0.178420821688086,0.366003756433106,0.369299650892385,0.199937963094041,0.411558125810289,0.244042334018834,0.218251858121343,0.184378655171329,-0.00980880248181873,0.490178896138954,-0.0158281327429047,-0.106652800785585,0.188860693537718,-0.0618711435436856,0.113324677887201,0.137830899048226,0.0835180248232841,0.187749169845794,-0.109821753479016,0.213783273796552,0.0427914075543013,0.126801026604362,0.148415976563101,0.13076236964696,0.282900138929662,0.126965887197915,0.0884952509865519,0.213498981195364,-0.0814935755450811,0.485696673689409,0.0315354149764837,-0.0928565139058131,0.0055710685527075,0.100309548588459,-0.0550782947912144,0.0415247734754144,0.172539309802042,0.0204787934758706,0.154727561127827,0.159159691749089,-0.0372104958428108,0.046169453957029,0.226359783784574,0.18423082064417,0.0432615275431646,-0.0644061297407836,0.41189264756174,0.280550838817782,0.510286070254241,0.242164284932012,0.266048725795074,0.028154128507292,0.0976899170816007,-0.0235935450998996
600,-0.104778305871683,0.155899646336809,0.421252298727753,0.180870313137967,-0.0383711374596179,0.214262588131038,0.188643489451747,-0.0399305284232639,0.0888200618915799,0.314135058683599,0.0845648771495991,0.02815236138132,0.274210980657744,0.198594248233704,-0.146791778802422,0.441295196409888,0.353114680184793,0.0643722830168876,0.106107368731452,0.0634410106639603,0.00915325655536203,0.150904678118214,0.126557068312423,-0.0226967765096878,0.304346652224939,0.0524976790974787,-0.0645942025027984,0.138570663431743,0.244843926528716,0.197664227484837,0.0411958721690139,0.0550519207004176,0.243077741401257,0.130655383202681,-0.0970375861408088,0.389358119571183,0.294537218805811,0.110334769390205,0.0649415660119143,-0.0197944725846161,0.0942646917154648,0.269185802318204,0.285135633233175,-0.0438948654566211,0.158690512106534,-0.000565747285770579,0.118409149913622,0.404439840991527,0.274270214789199,0.299688860917344,0.507846062285159,0.145214411120536,0.0596621615985894,0.263162357360754,-0.0161523469728289,0.483989983369733,0.0459742363175135,-0.053551947932,0.25607309202228,0.156528196322903,0.0943949079596745,0.081564225015944,-0.0209621917585349,0.124323709498259,0.00746138712413796,0.347669266433344,0.210761299519333,0.123129294849029,0.164712793970274,0.0696123927835177,0.213637270556323,0.076582649382785,0.255235980035398,0.399859429995925,0.0745363231786748,0.407387077123447,0.00850117150517254,-0.167150676155203,0.0521744790251035,0.213571202787812,0.0722313997205652,0.0673087816914739,0.298736834498277,-0.024276556015084,0.109807710929062,0.0678670627126243,0.10113181367202,0.0746882170186699,0.305185241387748,0.275066702862768,0.0604589612161003,0.0590286430321015,0.277780843344615,0.124798031073421,0.437188807563832,0.115792617700857,0.315037214004357,-0.0452871627240636,0.0685326580708601,0.117783519007673
700,-0.0601617379812744,0.13896700060468,0.255986863182699,0.113360635160344,0.0697553114731539,0.274339057288694,0.0865026590665376,-0.0228119130870404,-0.00106915769542631,0.29621026181022,0.053860675955411,0.0754065868262452,0.10632331841949,0.0584650677773968,-0.0169925881482093,0.364563221832347,0.430892459605181,0.000446836251860455,0.0182671942239055,0.0517800067951803,0.0865639885551124,0.120255341772975,0.179429817124722,0.0264540251695907,0.186198628310033,0.12901487959567,0.269348731200366,0.232134178792942,0.0671930075931938,0.175261858845659,0.0682840216102108,0.0536469297234128,0.162652395697358,-0.0121719462524591,0.0687263577230957,0.0636285113379078,0.219854107977509,0.125327846969846,0.126009668282637,-0.0455286730926421,0.201326167916172,0.203814253293769,0.376781970384214,-0.0655133930055132,0.239829596530446,0.0239318814547979,0.188769343234303,0.398734150644066,0.254570086121573,0.152217308138567,0.280712600343046,0.174519680661413,0.108443151886372,0.312755599547376,0.0412407222010218,0.401959203704813,0.150361702318211,0.0171286023471725,0.338705126213814,0.243296234269945,0.183590002333501,0.114493633025951,0.0858766942822201,0.1798216025741,-0.0354615619047844,0.413817642723089,0.151376105618334,0.319914912899903,0.157658089213842,0.193166117053431,0.18467674681769,-0.00386910449043834,0.093322698982525,0.295116344998858,0.0535123162431893,0.350406102022425,0.155401863724115,-0.024422999308321,0.117819402140789,0.291708766439557,0.0454810044225342,0.0730368285910755,0.266615571951609,0.141772096227916,0.129167336672178,-0.0216389150797001,0.0191493735011591,0.0345805292049923,0.0908013181056405,0.257559640175791,0.0504731072067035,0.0824525030970738,-0.014690417728768,0.129497090456497,0.411993986425716,-0.175320866829868,0.153892399031572,-0.102492982585887,0.0830611903581098,0.145889587998087
800,0.115891512696935,0.310408017309904,0.289845718683502,0.080892198452881,0.179774429605782,0.134805665421734,0.282496635858443,0.0546955658291752,-0.128077733028815,0.433244525145111,0.174297603069663,0.0246684523646248,0.0845399193179817,0.1031193912388,-0.098369038481278,0.327700090435935,0.46181373780501,0.203423129819979,0.139068160038809,-0.104757667997547,0.0201768011314405,0.18903328684828,-0.00431847747130368,0.0238079282877042,0.245856230640335,0.0326498697229939,0.139293635030081,0.168347969880853,0.11957390085462,0.0918016123980363,-0.124611210445906,0.250869423318023,0.178517904417088,0.190017388041136,0.0772505412295419,0.211427328574901,0.328605187977174,0.183221251516283,0.192303188630682,-0.116278173933734,0.185439595233351,0.140125925983372,0.360991214167866,0.0508171735890728,0.182382900717828,0.130789951592146,-0.021872719577498,0.185743623854755,0.295627211192901,0.233400654564851,0.111656393879104,0.264503106213881,0.122015271252981,0.4632268501937,0.0459729325377772,0.455219164980067,0.0904473572192689,-0.0233295540088913,0.358926748093442,0.32543691396764,0.34863038819475,0.0736113021276005,0.15961369884209,0.215595452975671,-0.0159641111630161,0.264947688108747,0.160065576752749,0.211016794714628,0.206222846292955,0.126691789617498,0.00632975544965933,0.040128328008949,0.135308070633323,0.264810336915018,0.0856369098955365,0.283832769437227,-0.0436669775306399,0.0893989329209334,0.247606530066399,0.449565954034383,0.0812813210330257,0.224060787342854,0.382271105743813,0.15695940804595,0.14893946966851,-0.00541269496741784,0.17879680729902,0.082868614657482,0.150940526292561,0.344018598957248,0.00466419653779762,-0.0452348359889625,0.0836182835048021,0.141103049231119,0.363513411232092,0.111722599627673,0.239710056314611,0.183893463607741,0.199383699289512,0.267711481111763
900,0.0468664791045137,0.334833218303306,0.314761540702558,0.0616512846116231,0.0648705076032075,0.298153471044141,0.18741326841136,0.0939851057589568,-0.0154934385127455,0.237180229140881,0.131006800143492,0.285677814067676,0.127877086787198,0.200976768023864,-0.155979365805732,0.193584962427788,0.374722503333058,0.334666946120151,-0.0469665505724023,-0.155587718956754,-0.0126121320068054,0.16420835723315,-0.111054550577013,-0.0691706318280329,0.293059638715683,0.0837984716337089,0.114864309304524,0.287774259374637,0.0544585671814944,0.0726281571284763,-0.0883313482527414,0.144305678020131,0.0969280780661609,0.0983824091791961,0.0364037811494253,0.133765529682094,0.177043858596556,0.189840933653633,0.0952050462171184,-0.0170094194542898,0.0970906955584278,0.123650495277967,0.217670439869587,0.233218030206297,0.148426847431524,0.0511470171303672,0.136940250362543,0.287473470187032,0.255698721335285,0.187916948091084,0.048110833268405,0.282870032347402,0.177934297397883,0.425558563072064,0.0260210807889722,0.186362894614379,0.0904570539473632,-0.0721141620928684,0.114364902013709,0.319853664482272,0.388293692577028,-0.0391452244572828,0.164575746249669,0.0756704175668452,-0.0729315110983488,0.163123091062576,0.215116831934204,0.142277042407429,0.390691590542148,0.0881873561083703,-0.0524841389171622,0.0263363487443692,0.282104343753252,0.158900121243682,0.0926801024670158,0.237311051676396,0.00143351833412098,-0.0204226817798109,0.258883475821077,0.538459585259027,0.0649838665070864,0.327127606260274,0.261527394883579,0.0910064628203186,0.00166534606625038,-0.02425419950579,0.0423993691167229,0.0675144980114075,0.0411885673986902,0.2477996434048,-0.00985065523767001,-0.0887425974772495,0.102042734655852,-0.00358238685172022,0.25077283435652,0.200536744106266,0.116948069105627,0.0969789073982535,0.0109806228907633,0.14032185802504
