"binAges","band","ens1","ens2","ens3","ens4","ens5","ens6","ens7","ens8","ens9","ens10","ens11","ens12","ens13","ens14","ens15","ens16","ens17","ens18","ens19","ens20","ens21","ens22","ens23","ens24","ens25","ens26","ens27","ens28","ens29","ens30","ens31","ens32","ens33","ens34","ens35","ens36","ens37","ens38","ens39","ens40","ens41","ens42","ens43","ens44","ens45","ens46","ens47","ens48","ens49","ens50"
0,1,1.04179663934762,-0.261310606780448,0.0801147823852232,0.248523138251284,1.29604833145932,1.2587882251422,0.748049716472383,-0.307348470166254,0.627638767760594,0.981416446374829,0.836243839272342,0.209758698591044,0.601134968724823,0.669060360939992,1.9272968012698,1.21511620423247,0.246132863684015,1.30822842023447,1.12678939196373,0.231467943580037,0.217634759395482,0.0353964379570092,0.321968188248228,0.755605009026158,0.624581111747504,-1.2621048431135,1.28535376190149,1.09907916266403,-0.719141451621412,0.382154399209203,0.323177085248259,-1.41663214734683,0.529822369529189,0.401516183842877,1.29019100103386,0.368884449769093,0.756825207687983,0.496107272504155,-0.490367955640434,0.159635179113825,0.329237737902397,0.958605048308403,0.585864625263991,0.527281234836172,-0.0826734574490079,0.372321319025567,-0.16708600275258,-0.957770846364115,0.720141976637964,-0.0230335063779726
100,1,1.55486821714396,0.541725912808471,-0.471571969986722,-0.068837654255427,-0.414176668417371,-1.01152427040948,0.0641111957055943,-0.790568824089685,0.563287879665287,-0.067551358058424,0.196455650048059,0.23667443657329,0.749370146573836,0.564020003865909,-0.299192734628059,-0.863095207080786,-0.0918656639990729,0.0800311619765378,1.11584756115514,0.104585961094888,-0.174354487270588,-0.708514189913776,-0.768312310943801,-0.0641111957055943,0.517482545446306,0.080885004275047,0.504172165582648,1.53895223511448,0.696709166026544,0.701036897041142,0.428323039568298,-1.76796979767327,-1.1004897680206,-0.866743302568699,-0.849977334473567,-0.719682330781901,0.205356289881078,-0.632646531481775,0.142746939439258,-0.611431177304367,0.416003854555732,0.253531988602972,0.80484422453153,0.201834207882731,-0.615053380714567,-0.100908059970187,-0.706871383005093,-0.686611575845387,0.844193908597594,-0.0812617379039949
200,1,0.307615612576003,-0.469326574112601,-0.33934419010571,-0.177607829343006,-0.429023177165602,-0.851606742872282,-0.0322382999085048,-0.999627515054296,-0.299646992013917,-0.277021132973682,-0.510755382195088,0.297442507574567,0.207478193772747,-0.469106705563601,-0.682196618648353,-1.11383644008592,-0.787668692522502,0.260936581911635,0.453336142577047,0.38400198642588,-0.656365110820715,-0.438192607887147,-0.378152700503222,-1.15362299339069,-0.247871308692559,-0.688259959251886,-0.305402427773513,0.533086251962715,0.568867777805839,0.365054801809876,-0.477867901657276,-0.609513178471709,-1.87686495040787,-0.56746403474039,-0.547805398914285,-0.774043692281569,0.295608616894691,-0.0497778990195161,0.363039224046324,-0.678627115497329,-0.128487280456752,-0.199254012802968,-0.375149161684946,-0.600974369606868,-1.26614524577537,-0.907280195469699,-1.44384502740688,-1.06554210469538,0.682743495163203,-0.0742621630198865
300,1,0.747100851128422,-0.426085450569303,-0.929317545906413,-0.178260502234979,-0.0594019884254868,-0.0579393417353297,-0.0481936644530667,-1.0243486683835,-0.130002882671251,-0.0307338939305045,-0.689449998099122,0.5625517577359,-0.432130352709611,-0.393719180022419,-1.17144760884081,-0.424347159906771,-0.301347343412762,-0.00158709925666728,-1.26897145239776,0.470526948302682,-1.24507056752149,-1.06390184032054,-0.930408861329556,-0.220344719590795,-0.893000477315057,-0.875279839849681,0.137813251437043,1.03069948978851,-0.0884683270060784,1.10107108989061,-0.348545971486259,-0.809914232942523,-0.776962400551242,-0.92068256310785,-0.392916014918256,-0.596087793496785,0.326401777798078,-0.0665963426138238,-0.815565237155301,0.458858402290944,-0.428633048454543,-0.275793952561774,-1.12315774349984,0.22877686673737,-1.20876019501527,-0.587838827065985,-0.708912373151598,-1.32366222551101,0.452502565205659,0.077293037481857
400,1,1.26555444315362,0.37338816887627,-1.41938330397103,0.568440922651801,-0.766616859875184,-0.756125415526263,0.365003530262437,-0.847037193454609,-0.415694382399352,-0.362115526546131,0.408379207148388,-0.274054352988072,-0.132976450990521,-0.225269289254324,-0.079297942830925,-0.362678445457932,-0.902400768376209,0.205549503274956,-1.07706507670834,-0.330600093252991,-0.208420557909554,-1.27895554086991,-0.331396699411005,0.0562931467598158,-0.0235520195956571,-1.27502780692458,0.10703816915372,1.39512234015419,0.158918659259929,2.0805358828545,0.236142256146275,-0.55493829694818,-1.02972257229384,-1.30620259102436,-0.425322920835766,-0.0297608483385626,-0.128392437030544,-0.535422506048475,-0.380778581117555,-0.794279426025189,-1.20259176222275,0.209092136865786,-0.0821182867134731,0.632053478083848,-0.54644090947869,0.00290272603360636,-0.515957358286,-0.736401053235929,-0.910033478473742,0.985344674204528
500,1,1.06579897929073,-0.0940353000992963,-0.451278504555826,-0.127413775119949,-0.279567346305882,-0.607550832398056,-0.0904957100750263,-0.51651943208658,0.686494477329892,0.194171513937906,0.611664288795405,-0.452074779144762,0.241491534924071,1.34284299344063,0.630580140708778,0.731818508688511,-0.934500729928242,1.13361133042343,-0.109070784749229,0.383934455329396,-0.000715688460197095,0.194950083079968,-0.495607812858324,0.123529288962182,-0.0603479454325478,0.475558145868465,0.4341776297814,1.14659957054827,0.493095294818804,1.01106956034501,0.0924534963640708,-0.313610939906439,-1.79043033451783,-0.474443481430611,-0.11440630896846,-0.443648764285076,0.750026328925006,-1.07659586897307,0.413765983653611,-0.716504442958741,-0.292204642812514,0.165630191747151,0.996464480002755,0.944499177822863,1.11417456893209,0.744868493233157,-0.240796692362054,0.0453357285253153,0.120858804482721,1.04813189325278
600,1,0.917911708337442,0.208307134759922,-0.679596460376223,0.524262713373574,0.423519896505082,-0.39688278307975,0.898925938825252,-0.341161631977111,0.748739972458594,0.374070480186788,0.518151072640579,0.790258524296031,0.0984078198942088,0.86710281014491,0.959794265274725,0.608811863868313,-0.615743817573357,2.02614038842799,0.0933598021098235,0.723176932509653,-0.00938391558688045,-0.476279811112544,0.168321601000286,-0.0859771009288816,-1.3408707675036,-0.160882945078753,0.180506737391999,1.19259576318313,-0.434912075919619,0.756353798992795,0.287658239041495,0.847628449460581,-0.950337619265213,0.420904384899249,-0.10242270948299,0.108211337318053,1.44051003686306,-0.522075502213376,0.668113586172729,0.111235659749742,0.71548094703613,0.72772317385591,0.102159818301164,1.11211778989713,1.49898518236082,0.608416838570761,-0.758381110408855,0.55865105445069,-0.00880485127387154,1.14562805864313
700,1,1.44506541645437,0.860306388158224,0.481607701855381,1.01217054904769,-0.218514393766375,0.436508049668416,0.950023229072919,0.381681587298504,-0.20713301127999,0.34789911961573,0.857071268248212,-0.0785130502619758,0.538194289683147,0.98691902498724,0.285386015956184,0.0768230962915126,0.426077722333574,1.14617118679979,0.274835524551947,-0.357413855482633,-0.10256449227148,0.419145209769846,-0.0146339506876669,0.0843334709581711,-0.181665178193943,0.554369906846444,0.395863248857399,0.719079151166888,0.503881452083002,1.44266377079803,-0.230301723176069,1.31667822726801,0.384363080417766,0.623716519909016,0.117678206219818,0.490980421870628,0.624899289127251,-0.698092273529724,0.308912358110062,-0.0399393030183965,0.554296875660019,1.16719713863121,-0.222412319677438,1.51135063437077,0.00815376969879728,0.166671582984402,0.345983250250829,0.433150555343073,-0.169478064717649,1.47997863169271
800,1,1.85344350564907,0.0316983349958554,0.202210133862507,1.07720637730321,0.409298594281415,0.349728352757462,0.62161792665655,0.797580876319374,0.0822231991031794,0.732161668547528,-0.0970283246387418,0.788240975263663,0.00695369273939012,1.06682976856071,0.736793259035186,0.0123966038760741,0.60723367862099,1.14797742271003,-0.319048106814245,-0.628103141125293,-0.437461964042484,-0.226962037124617,1.02162631079482,-0.417510071721141,0.546429581130948,0.418506629760139,0.478860795866544,0.881853637860479,1.47845788359811,0.875508610115935,0.957118861380629,1.19071768852186,-0.0667821670300877,1.01817422046913,0.397853495558415,0.441985341693526,0.941572937539823,-0.255205854021117,0.63137464878198,0.875453470896519,0.183650643567099,0.808900401677678,-0.594134176761867,1.35093537566989,1.15986192937417,1.59234450404224,-1.15428132163449,0.124375488673446,1.35034722248399,1.49867710045413
900,1,0.276515209144288,0.963900135316722,0.141357674569418,0.162226474187504,-0.275574414483988,-0.491373607829742,1.0943279503917,0.768790121783439,-0.536325823174207,-0.15559357879423,-0.402943551830372,-0.456741688510935,-1.00480175319018,0.516139156386944,-0.159979425289417,0.639378319896463,0.252576226832368,0.911302002790747,-1.85931656399444,0.207325694985358,-0.555654757594519,-0.617539526092025,-0.0652664243084162,0.533839681986041,-0.675263428787416,-0.334764384970422,-0.0558262732681856,0.460517018398999,0.431982603877935,0.330687930472509,0.334382826827368,0.361175718389664,0.665783073236299,1.09565408487297,-0.00476685461638593,-0.688987971341124,-0.283610368032951,0.478445256006607,-0.316139252137868,-0.36577784066623,0.0358308439545527,-0.502362104512776,-0.875355162881059,0.544831055588248,0.0859854910305589,0.661558834886631,0.0514964709155866,0.330613617171027,-0.744871714535382,1.01275589842922
